15:50:42 [INFO] 	🚀 Запуск теста "test_prod_act_1"
15:50:49 [INFO] 	Браузер chrome открыт.
15:50:50 [INFO] 	Вход в роли пользователя
15:50:52 [INFO] 	Добавлено 2 продукта Бургер с курицей
15:50:52 [INFO] 	Убедиться, что у выбранного продукта в окне между '-' и '+' отображается количество товара, равное 2.
15:50:54 [INFO] 	Отображение количества товара происходит корректно.
15:50:56 [INFO] 	Браузер chrome закрыт.
15:50:56 [INFO] 	✅ Тест "test_prod_act_1" завершился успехом
15:50:56 [INFO] 	⌛ Продолжительность теста: 13.95 секунд
=================================== PASSED ===================================

15:50:56 [INFO] 	🚀 Запуск теста "test_prod_act_2"
15:51:07 [INFO] 	Браузер chrome открыт.
15:51:07 [INFO] 	Вход в роли пользователя
15:51:09 [INFO] 	Добавлено 2 продукта Бургер с курицей
15:51:09 [INFO] 	Уменьшить количество товара - нажать на кнопку '-' 1 раз.
15:51:12 [INFO] 	Убедиться, что у выбранного продукта в окне между '-' и '+' отображается количество товара, равное 1.
15:51:14 [INFO] 	Уменьшение количества товара происходит корректно.
15:51:16 [INFO] 	Браузер chrome закрыт.
15:51:16 [INFO] 	✅ Тест "test_prod_act_2" завершился успехом
15:51:16 [INFO] 	⌛ Продолжительность теста: 20.18 секунд
=================================== PASSED ===================================

15:51:16 [INFO] 	🚀 Запуск теста "test_prod_act_3"
15:51:27 [INFO] 	Браузер chrome открыт.
15:51:27 [INFO] 	Вход в роли пользователя
15:51:34 [INFO] 	Добавлено 2 продукта Бургер с курицей
15:51:34 [INFO] 	Уменьшить количество товара - нажать на кнопку '-' 3 раза.
15:51:37 [INFO] 	Убедиться, что у выбранного продукта в окне между '-' и '+' отображается количество товара, равное 0, не присутствует отрицательных значений.
15:51:39 [INFO] 	Уменьшение количества товара происходит корректно. Нет отрицательных значений.
15:51:41 [INFO] 	Браузер chrome закрыт.
15:51:41 [INFO] 	✅ Тест "test_prod_act_3" завершился успехом
15:51:41 [INFO] 	⌛ Продолжительность теста: 25.45 секунд
=================================== PASSED ===================================

15:51:41 [INFO] 	🚀 Запуск теста "test_admin_1"
15:51:53 [INFO] 	Браузер chrome открыт.
15:51:53 [INFO] 	Вход в роли администратора
15:51:53 [INFO] 	Нажать на кнопку 'Меню'.
15:51:54 [INFO] 	Найти и нажать на пункт 'Редактировать товары'.
15:51:55 [INFO] 	Найти и нажать на кнопку 'Добавить товар'.
15:51:55 [INFO] 	Заполнить обязательные поля необходимыми данными.
15:51:56 [INFO] 	Нажать на кнопку 'Создать товар'.
15:51:56 [INFO] 	Во вкладке 'Меню' найти и нажать на пункт 'Магазин'.
15:51:57 [INFO] 	Убедиться, что товар создан и находится в списке продуктов.
15:51:57 [INFO] 	Созданный товар 'Тестовый Пирожок Вишневый' находится на странице с продуктами.
15:51:59 [INFO] 	Браузер chrome закрыт.
15:51:59 [INFO] 	✅ Тест "test_admin_1" завершился успехом
15:51:59 [INFO] 	⌛ Продолжительность теста: 17.98 секунд
=================================== PASSED ===================================

15:51:59 [INFO] 	🚀 Запуск теста "test_admin_2"
15:52:11 [INFO] 	Браузер chrome открыт.
15:52:11 [INFO] 	Вход в роли администратора
15:52:11 [INFO] 	Нажать на кнопку 'Меню'.
15:52:12 [INFO] 	Найти и нажать на пункт 'Редактировать товары'.
15:52:13 [INFO] 	Найти и нажать на кнопку 'Добавить товар'.
15:52:14 [INFO] 	Оставить одно обязательное поле незаполненным.
15:52:14 [INFO] 	Убедиться, что кнопка 'Создать товар' не активна.
15:52:14 [INFO] 	Кнопка "Создать товар" не активна.
15:52:16 [INFO] 	Браузер chrome закрыт.
15:52:16 [INFO] 	✅ Тест "test_admin_2" завершился успехом
15:52:16 [INFO] 	⌛ Продолжительность теста: 16.75 секунд
=================================== PASSED ===================================

15:52:16 [INFO] 	🚀 Запуск теста "test_admin_3"
15:52:28 [INFO] 	Браузер chrome открыт.
15:52:28 [INFO] 	Вход в роли администратора
15:52:28 [INFO] 	Нажать на кнопку 'Меню'.
15:52:29 [INFO] 	Найти и нажать на пункт 'Редактировать товары'.
15:52:29 [INFO] 	Найти добавленный ранее товар и нажать на кнопку редактирования (иконка карандаша).
15:52:30 [INFO] 	Редактировать поле 'Цена, Р', указать новое значение.
15:52:30 [INFO] 	Найти и нажать на кнопку 'Обновить товар'.
15:52:30 [INFO] 	Во вкладке 'Меню' найти и нажать на пункт 'Магазин'.
15:52:31 [INFO] 	Убедиться, что цена товара изменилась на сохраненную ранее.
15:52:32 [INFO] 	Цена тестового продукта изменилась на сохраненную ранее.
